Row ID;Order ID;Order Date;Ship Date;Ship Mode;Customer ID;Customer Name;Segment;Country;City;State;Postal Code;Region;Product ID;Category;SubCategory;Product Name;Sales;Quantity;Discount;Profit
1;CA2016152156;8/11/2016;11/11/2016;Second Class;CG12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FURBO10001798;Laptops;Dell;Bush Somerset Collection Bookcase;261.96;2;0;41.9136
2;CA2016152156;8/11/2016;11/11/2016;Second Class;CG12520;Claire Gute;Consumer;United States;Henderson;Kentucky;42420;South;FURCH10000454;Laptops;HP;Hon Deluxe Fabric Upholstered Stacking HP, Rounded Back;731.94;3;0;219.582
3;CA2016138688;12/6/2016;16/6/2016;Second Class;DV13045;Darrin Van Huff;Corporate;United States;Los Angeles;California;90036;West;OFFLA10000240;Mobile Phones;HTC;SelfAdhesive Address HTC for Typewriters by Universal;14.62;2;0;6.8714
4;US2019108966;11/10/2019;18/10/2019;Standard Class;SO20335;Sean ODonnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;FURTA10000577;Laptops;Lenovo;Bretford CR4500 Series Slim Rectangular Table;957.5775;5;0.45;383.031
5;US2019108966;11/10/2019;18/10/2019;Standard Class;SO20335;Sean ODonnell;Consumer;United States;Fort Lauderdale;Florida;33311;South;OFFST10000760;Mobile Phones;OnePlus;Eldon Fold N Roll CLG System;22.368;2;0.2;2.5164
6;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;FURFU10001487;Laptops;Asus;Eldon Expressions Wood and Plastic Desk Nikon, Cherry Wood;48.86;7;0;14.1694
7;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;OFFAR10002833;Mobile Phones;LG;Newell 322;7.28;4;0;1.9656
8;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;TECPH10002275;Cameras ;Sony;Mitel 5320 IP Phone VoIP phone;907.152;6;0.2;90.7152
9;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;OFFBI10003910;Mobile Phones;iPhone;DXL AngleView iPhone with Locking Rings by Samsill;18.504;3;0.2;5.7825
10;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;OFFAP10002892;Mobile Phones;Samsung;Belkin F5C206VTEL 6 Outlet Surge;114.9;5;0;34.47
11;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;FURTA10001539;Laptops;Lenovo;Chromcraft Rectangular Conference Lenovo;1706.184;9;0.2;85.3092
12;CA2018115812;9/6/2018;14/6/2018;Standard Class;BH11710;DataFlair;Consumer;United States;Los Angeles;California;90032;West;TECPH10002033;Cameras ;Sony;Konftel 250 Conference phone  Charcoal black;911.424;4;0.2;68.3568
13;CA2017114412;15/4/2017;20/4/2017;Standard Class;AA10480;Andrew Allen;Consumer;United States;Concord;North Carolina;28027;South;OFFPA10002365;Mobile Phones;Pixel;Xerox 1967;15.552;3;0.2;5.4432
14;CA2016161389;5/12/2016;10/12/2016;Standard Class;IM15070;Irene Maddox;Consumer;United States;Seattle;Washington;98103;West;OFFBI10003656;Mobile Phones;iPhone;Fellowes PB200 Plastic Comb Binding Machine;407.976;3;0.2;132.5922
15;US2019118983;22/11/2019;26/11/2019;Standard Class;HP14815;Harold Pawlan;Home Office;United States;Fort Worth;Texas;76106;Central;OFFAP10002311;Mobile Phones;Samsung;Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter;68.81;5;0.8;123.858
